userID_Index,user_id,gmap_id,name,rating,text,region,time,avg_rating,meta_name,num_of_reviews,price,first_main_category,review_count,gmapID_Index,hash_tag,city,date
4.0,108685370139018629938,0x80dc03e5d1618ceb:0x73529c9f616b883,Jay Keyes,3,"Can someone explain to me why this place is always packed, why the lines are always long, and why the long lines move so excruciatingly slow? This does not seem like the kind of joint that should attract the amount of attention that it does. As taco shops go, it's not particularly cheap, it lacks that ""slick"" trendiness you expect from an eatery popular with young people, it's in the ""downtown"" area of La Jolla but kinda off to the side, and the food... well, some of the food here is very good, some of it is kind of bad.

During my first trip, I ordered the ""Sonora Taco"" and the ""Nopal (Cactus) Taco."" I instead got an ""Al Pastor Taco"" and ""Nopal Taco."" Because I was in a rush and had already waited in line for far longer than I expected, I let it go.

The ""Nopal Taco"" was not good at all. The cactus is supposedly ""flame-grilled"" but it tasted steamed. I've had great nopales asados elsewhere, and this was not that. The taco was very plain, consisting of bland under-seasoned cactus, chopped tomatoes, and mild cheese. Not my idea of a party.

The ""Al Pastor Taco"" was quite a bit better, but below-average for San Diego. The pork was well-crusted and shaved off a trompo, but was rubbery inside. The combined taco was too sweet and wet due to the many small chunks of pineapple added to it. The taqueros in L.A. who add chunks of pineapple to their Al Pastor tacos typically exercise more restraint in addition to using a less sweet pineapple. Of course, pineapple chunks in Al Pastor tacos are not as common in San Diego (not as common as in L.A., for example) due to the heavy influence of bordering Tijuana and that city's adobada-style tacos.

My lunch was redeemed by the Taco Stand's ""Churros."" They were handed to me piping hot and with a sweet dipping sauce on the side that bore an uncanny resemblance to Toaster Streudel vanilla icing, and I mean that in a good way. The churros are crunchy, but also delicate enough to pretty much melt in your mouth once your teeth penetrate their crispy exterior.

When I returned to ""The Taco Stand"" more recently, I again ordered the ""Sonora Taco"" and, this time, I actually received it. The Sonora Taco consists of a flour tortilla stuffed with deliciously browned cubes of Certified Angus Beef, chili, cumin, and salt seasoning seared into them. The taco would have been fine with just that, but it is enhanced with melted cheese, pinto beans, guacamole, onion, and cilantro. I recommend adding the habanero salsa from the salsa bar as well -- it complements the ""Sonora Taco"" perfectly. Do what I told you, and you'll end up eating a very solid taco. Again, on my second visit, the line moved glacially slow. On a Thursday evening at around 8pm, I waited 25 minutes just for the pleasure of ordering anything.

With such inconsistency, this should not be a place that is as popular as it is. But if it keeps the crowds away from my favorite taquerias in South Bay, I guess I'm OK with that.",California,2019-11-21 15:22:10,4.6,The Taco Stand,3433,1,Food & Beverage,601,5402.0,['Mexican restaurant' 'Burrito restaurant' 'Fast food restaurant'],other,2019-11-21
4.0,108685370139018629938,0x80c2c7fa5d005573:0x1ff1b38c89b6c090,Jay Keyes,5,"Tacos 1986 is best known currently for its Tacos de Adobada, essentially marinated pork shaved off of a spinning trompo into corn tortillas. Rather than being sweetened with pineapple as Al Pastor pork typically is, the sweetness in Taco 1986's recipe supposedly comes from strawberries, which is unusual on this side of the border, even for Tacos de Adobada. Also, Tijuana-style Tacos de Adobada are typically served in a parchment paper used to pinch the taco closed.

I enjoyed the texture of the adobada meat at Tacos 1986: some pieces crispy and charred like sturdy bacon, other pieces tender and sticky. I also enjoyed the white corn tortilla used in this taco, griddled until it started to brown -- another unusual twist for a Los Angeles taco purveyor. I ordered my taco ""con todo"" and it was topped with guacamole, chopped onions, and cilantro. Any application of salsas is DIY, and I recommend you add the incendiary salsa macha.

Taco 1986's ""Taco de Adobada"" would perhaps be in the same top tier as the ""Al Pastor"" offerings from Leo's, El Flamin', and Ave 26 Taco Stand if the adobo glaze on the meat itself didn't have as grassy of a finish. I like achiote laying on my tastebuds when I eat adobada pork, but Taco 1986 takes it just a touch too far, and the strawberries don't provide enough sweetness to balance the bitterness.

A better option to order is the ""Carne Asada Vampiro."" A ""Vampiro"" is a taco made using tortilla shells that have been griddled for a while over low-heat until they are dry and crunchy; the tortillas contract and ruffle a bit during this process, often resembling a ""vampire bat wing,"" hence the name. Some taquerias serve their vampiros as one tortilla topped with melted white cheese and the toppings, while other places, including Tacos 1986, use two corn tortillas to make a ""sandwich,"" similar to a mulita, stuffed with the toppings and melted cheese.

The ""Carne Asada Vampiro"" here lacks for nothing. Besides being stuffed with one of the most deliciously-seasoned renditions of carne asada I've had in Los Angeles, the supporting guacamole and melted white cheese are also top notch and issued in a perfectly harmonious ratio with the smoky beef. Vampiro ""shells"" elsewhere can often end up with a stale texture due to lazy cooking, but here they are perfectly crispy.",California,2019-11-21 23:53:08,4.2,Tacos 1986,471,1,Food & Beverage,601,26323.0,['Mexican restaurant'],Los Angeles,2019-11-21
4.0,108685370139018629938,0x80d94de8c30469b7:0x319cc940f9afe443,Jay Keyes,5,"This is the place I take my friends from out-of-town when they ask about San Diego tacos.

The must-try item here are the spicy adobada pork tacos. The delicious slow-roasted adobada pork is shaved directly off of a rotating vertical skewer ""al pastor"" style onto 2 tortillas, and then topped with avocado sauce, onions, cilantro, and picante sauce. If you like cheese, try the same adobada pork in a mula.

Feeling adventurous? The tender lengua (beef tongue) and flavorful tripa (tripe) tacos are also delicious.

Prices are very reasonable. Tip on parking: forget trying to find a space in the small lot around the restaurant except during very rare non-busy times. Instead, park in the large parking lot at the trolley station across from Carl's Jr.

Do make sure that you do not confuse this place with other establishments in San Diego County that share the name ""Tacos El Gordo,"" especially the mediocre ""Tacos El Gordo"" on the Pacific Beach boardwalk.",California,2019-11-21 23:57:36,4.5,Tacos El Gordo,7404,1,Food & Beverage,601,2669.0,['Mexican restaurant'],Chula Vista,2019-11-21
4.0,108685370139018629938,0x80deaa3a5af575ff:0xfef9301687f59bfa,Jay Keyes,4,"OB is a bit off the beaten path for me, but I make the occasional trek from downtown to sit at South Beach Bar & Grille's bar and enjoy their fish tacos.

By eschewing corn tortillas for flour tortillas, South Beach's tacos have more weight and are a bit more filling than other seafood tacos around town. Two is enough to fill me up. My favorites are the grilled mahi and the fried pollock, but all of them are pretty good and over-stuffed with tomatoes, cilantro, onion, cheese, cabbage, and covered in a delicious sour cream/ranch-like white sauce. Ranging from $3-$4 each, the tacos are pretty good value.

Be forewarned -- the fried clam strips ought to be avoided. I grew up near Boston, so I may be over-sensitive to this, but the stringy, rubbery excuse for fried clams here have the taste and texture of Long John Silver's left-overs that have been re-heated in a microwave. Also, this is not really an ideal dinner date place, unless your idea of romance is downing beers 'n shots in a dusty, low-lit sports bar among depressed locals and wide-eyed tourists. Ambiance is divey, most of the other non-taco items on the menu are so-so, and you should prepare to get carded upon entry (regardless of time of day, and even if you look like you're 63 years old), but the fish tacos are damn special.",California,2019-11-10 14:46:16,4.4,South Beach Bar & Grille,2632,1,Food & Beverage,601,8738.0,['Bar & grill' 'American restaurant' 'Bar'],San Diego,2019-11-10
4.0,108685370139018629938,0x80dbf8eb7c4a252d:0x4b4d361deaf8b9b6,Jay Keyes,4,"A value-oriented Filipino/Mexican fusion joint is intriguing. I'm just not sure why they had to make it a 'berto's-style taco shop at its base. The Mexican side of this operation is barely such -- it's like if you positioned your cuisine as Filipino/Italian fusion but based it all on the classic American ""checkered tablecloth"" ""red sauce"" joint that serves pizza by the slice.

I ordered the ""Pac Man Burrito,"" one of Sayulitas' most popular offerings. It is an enormous flour tortilla stuffed with tocino (sweet Filipino bacon), carne asada, French fries, sour cream, pico de gallo, and shredded yellow cheese. Named after legendary Filipino boxer Manny Pacquiao (currently a senator in the Philippines), I couldn't ever imagine the svelte prizefighter (5'5"", 146 pounds) consuming a burrito this large. Seriously, if we're losing our minds over large cups of soda, this burrito needs to be declared a public health hazard. It has the calories of a week's worth of meals wrapped into the largest flour tortilla I've ever seen.

While the size of the ""Pac Man Burrito"" was something to behold, I disliked that the ingredients are all bunched together rather than spread out evenly within the tortilla. The distribution of the fillings made this burrito difficult to eat, as there is nothing pleasant about chomping off a bite that only includes cold shredded cheese and flour tortilla, or just pico and sour cream with flour tortilla, or whatever. At its core, this is really just a large California Burrito but with Filipino tocino. The novelty of this was interesting at first, but I was already tired of eating it after working through the first 7 or 8 bites (i.e. the first 1% of it). The carne asada was bland and mediocre, the fries were soft and flaccid, and the gigantic flour tortillas they use are otherwise rubbish and smell like gym shoes.

I preferred the ""Longaniza Taco,"" which consisted of Filipino-style longaniza, pico de gallo, and guacamole. The longaniza is sweet, a little spicy, but very good. I liked its somewhat crispy surface and overall juiciness. This taco was good, with potential to be a ""top 25"" taco in San Diego except for the dire quality of the bagged corn tortillas they use. The tortillas taste like chemicals, a relative disaster associated with an otherwise great idea. The red sauce from the salsa bar is pretty good and is your best salsa pairing with this.

Be forewarned that the atmosphere of this Mira Mesa taco shop was loud, even at 9:30am on a Friday morning when I was there. They had whatever is the modern equivalent of COPS blasting on their TV at volumes that shook the inside of my head. This place is interesting for sure, but deeply flawed.",California,2019-11-10 14:44:32,4.4,Sayulitas Mexican Food,748,1,Food & Beverage,601,30147.0,['Mexican restaurant'],San Diego,2019-11-10
4.0,108685370139018629938,0x80c2cb6ac8fc62bb:0x82f9fefddc0dc252,Jay Keyes,4,"For me, there is no more interesting ""regional"" taco in Los Angeles than the ""black taco,"" a type of taco that has been invented and evolved over the past 40+ years in black neighborhoods located within the urban sprawl beginning in South Central Los Angeles and ending in Compton. Black tacos have their own unique distinctive style, look, taste, and nomenclature, yet are not found outside of this micro-region.

Don't get me wrong, there are different varieties of black tacos, but the basics are a tortilla (usually a white corn tortilla, but flour can be used as well) filled with ground beef or turkey, lots of shredded yellow cheese, lettuce, diced tomatoes, and either sour cream or some kind of sweet barbecue-like ""sauce"" or both. There are no onions or cilantro in a typical black taco. Sr. Cliff's ""Turkey Taco"" is what I just described, with seasoned clumps of ground turkey that are grilled until they're browned and deposited into a soft corn tortilla with tomatoes, cheese, lettuce, and sour cream.

Sr. Cliff's can also serve their tacos with onions and cilantro on double corn tortillas, eschewing all of the other toppings. They call this ""Mexican-style."" I ordered a ""Ground Beef Taco"" of this variety, and it was exactly what you would expect it to be, though the grilling technique that Sr. Cliff's cooks use for their ground meats imparts plenty of flavor due to the thick browning picked up through the process. Nonetheless, these are not much more than the kind of tacos that have made billions of dollars over the past 80 years for General Mills' ""Old El Paso"" brand.

However, the combination of soul food and Mexican food on the menus of black-owned restaurants continues to evolve black tacos in South L.A. and Compton. These neighborhoods, once predominantly black, have become more racially mixed over the past few decades, with Compton now being the home to more Latinos than any other race. As Hispanics migrated into these neighborhoods, restaurants previously only serving blacks wisely began offering Mexican dishes on their menu. For example, Sr. Cliff's offers menudo and pozole.

The next step, of course, was integration between both sides of the menu. The ""Soul Man Taco"" served at Sr. Cliff's uses pastrami in addition to ground beef for its meat, and has similar toppings to their regular black taco, but it also comes with a legit salsa roja on the side that wouldn't be out of place in a Boyle Heights taqueria. The woman who served it to me was a Latina, as were the cooks in Sr. Cliff's kitchen. Indeed, Sr. Cliff's ""Soul Man Taco"" veers towards an intriguing direction for black tacos, using and combining ingredients that one wouldn't think to combine in a taco, but make sense due to local culture.

Having been in operation since 1975, owned and run by Cliff Williams the entire time, this is a historic restaurant that prides itself in serving ""real food for real people,"" and has evolved with the times. Sr. Cliff's may not have invented the black taco, nor do they make the best black taco in L.A., but this is probably the best restaurant to go to for understanding what black tacos are, and how they have become essential eats in the communities they can be found in.",California,2019-11-10 14:53:24,4.4,Sr. Cliff's Texas Style Burritos,358,2,Food & Beverage,601,10764.0,['Mexican restaurant' 'American restaurant'],Compton,2019-11-10
4.0,108685370139018629938,0x80c2b9463f492c29:0x2b915f35b68c3a63,Jay Keyes,5,N/A,California,2019-11-10 14:47:55,4.3,Sky's Gourmet Tacos,478,1,Food & Beverage,601,33625.0,['Restaurant' 'Delivery service' 'Diner'],Los Angeles,2019-11-10
4.0,108685370139018629938,0x80c2c0bab16d725d:0xf3e30307b6434eb5,Jay Keyes,3,"I had heard a fair amount of praise for the ""Cochinita Pibil Taco"" at Yuca's on Hillhurst, a Yucatecan food shack in Los Feliz that has been in operation since 1976. Along the way, this unassuming establishment picked up a James Beard Award in the ""American Classics"" category in 2005, 10 years before Guelaguetza, the only other Mexican eatery in L.A. that has won the same award.

Bottom line is that I was disappointed with Yuca's overhyped ""Cochinita Pibil Taco"" but loved their ""Double Cheeseburger.""

First, the ""Cochinita Pibil Taco"":
- double white corn tortillas pulled from a bag
- sweet citrus and achiote were the dominant flavors; the sour element was non-existent in the recaudo rojo to the point where it really did not taste like cochinita pibil at all (not to say what I ate was terrible, it just wasn't what I ordered)
- the pork used to make the pibil tasted funny and possibly was spoiled or had slight boar taint
- the taco comes topped with chopped tomatoes and fresh onions, not pickled onions (the latter being a more traditional accompaniment)
- the taco is served wrapped in foil

And now the ""Double Cheeseburger"":
- bun toasted in burger grease on both sides
- crusty burger patties covered in melted gooey cheese with enough vegetal condiments to provide the ""illusion of freshness""
- on par with an ""In N Out"" double-double but somehow came out way faster
- all of the above statements about the burger are ""features,"" not ""bugs""

In short, Yuca's ought to move on from regional Mexican cuisine and instead start a burger chain.",California,2019-11-08 02:20:37,4.4,Yuca's,358,1,Food & Beverage,601,5483.0,['Mexican restaurant' 'American restaurant' 'Restaurant'],Los Angeles,2019-11-08
4.0,108685370139018629938,0x80d954dafd4e35d5:0xefc6bacb98e8a3d6,Jay Keyes,5,"Oscar's is as great as you've been told, and probably better than you imagine.

This review is for their outpost in Hillcrest, a spotlessly clean location on the corner of 6th and University with conscientious, friendly, and helpful staff. I'll never forget my first time here while I was blissfully scarfing down a pair of battered fish tacos and one of the dudes behind the counter encouraged me to try the homemade sauces in the refrigerator to ""bring it to another level."" Despite being ""fast casual,"" these are good people who genuinely care about whether or not you're enjoying their food.

The prices for Oscar's outrageously high-quality food are ridiculously low. Yes, you could get some comparable fish tacos from a good San Diego food truck and pay a little less, but this is way easier to deal with. I could eat here every day of the year, not have a problem with it, and spend very little on food.

Each of Oscar's tacos are delicious in their own way, and it is difficult to have to choose between them during each trip to their restaurant. The essential menu items that everyone should try once in their lives are:

Spicy Shrimp Taco - single corn tortilla wrapped around lots of tiny shrimp grilled in a spicy and sweet sauce, with tomatoes, cilantro, a couple of wedges of avocado, and cabbage. This taco does not need additional sauce, it is plenty hot on its own.

Battered Fish Taco - I really like you, Rubio's, but Oscar's battered fish taco destroys yours. Seriously, it doesn't get much better than this scrumptious corn tortilla filled with battered fish, cabbage, tomatoes, red onions, and cilantro, especially when topped with Oscar's homemade chipotle sauce.

Smoked Fish Taco - this taco features super-savory, well-salted fish ""sausage"" (the fish is ground into a corned beef hash consistency) with cabbage, tomatoes, avocado chunks, and onions. Make no mistake, this is absolutely delicious, and could be my favorite taco from Oscar's depending on my mood. My only complaint is that you barely taste any indication that you're eating fish, but that's not a bad thing.

Where Oscar's further sets themselves apart are with their complimentary homemade sauces available to you in their cooler in squeeze bottles, which include:

Homemade Habanero Aioli - spicy hot and slightly sweet mayo-like sauce - this is a favorite of mine when paired with the Smoked Fish Taco.

Homemade Red Pepper Sauce - earthy and fresh liquefied hot pico de gallo.

Homemade Chipotle Cream Aioli - smoky medium hot sauce that lends itself well to seafood. This pairs well with any of Oscar's seafood tacos.

Oscar's offers refreshing pitchers of aguas fresca (water infused with slices of fruit) free-of-charge on their counter.

If you're visiting the city, this is where you go for seafood tacos, period. If you live here, you already know.",California,2019-11-07 19:38:54,4.5,Oscars Mexican Seafood,698,1,Food & Beverage,601,30091.0,['Mexican restaurant' 'Restaurant' 'Seafood restaurant'],San Diego,2019-11-07
4.0,108685370139018629938,0x80c3531ff8a7160b:0xb5cd8101e8ff5502,Jay Keyes,5,"Mitla Café's tacos are the foundation of the Taco Bell empire. It was at this restaurant that Glen Bell decided to sell tacos, and he sweet-talked his way into Mitla Café's  kitchen to see how they were made.

As you first bite into one of Mitla Café's Beef Tacos (labeled as just ""Taco"" on the menu), you can't help but think of a Taco Bell's taco, except done 100 times better. As grease and juices fall out of the house-made misshapen fried tortilla, you'll taste the heavily-browned and spiced ground beef covered with shredded cheddar cheese, refreshing lettuce, and bright red tomatoes, and you will understand why someone would start a fast food company around this. Sometimes it's better to be lucky than good, because for as many billions of dollars that the Taco Bell brand is worth, Glen Bell ultimately failed to capture what makes this taco work.

Mitla Café's ""Shredded Beef Taco"" is probably a better taco than their regular ""Taco,"" but it doesn't channel the same kind of nostalgia. The ""Shredded Beef Taco"" does, however, have a cleaner flavor and truer purity of purpose. Either taco greatly benefits from the red sauce (you need to ask for a side of it when you order), a fiery salsa that puts Taco Bell's little spicy ketchup packets to shame.

During my visit, I also ordered the Pozole, which is served white (i.e. Pozole Blanco), with minimal garnishes (no oregano, for example), and pork that was over-cooked. My advice is to pass on the Pozole and eat more tacos. In fact, always eat more tacos.

--

I recall that a few years back that Trent Reznor of Nine Inch Nails was horrified and saddened to learn that the U.S. CIA was blasting songs off of his 1994 album, ""The Downward Spiral,"" at the highest possible volume during brutal interrogations of sleep-deprived enemy combatants as a way to further intimidate and disorient them. I suspect that every time someone like me writes about the connection Mitla Café has to Taco Bell, the present-day owners, descendants of Mrs. Rodriguez, have a similar reaction as Mr. Reznor had to his art being used so abusively. Or perhaps they understand things as I do: Glen Bell himself confesses to have stolen their recipe but, given the chasm between what they serve and what Taco Bell serves, there's little evidence he actually used it.

If you live anywhere in Southern California, a trip to Mitla Café is worthwhile, and likely to be illuminating, shocking, infuriating, and satisfying all at once.",California,2019-11-07 03:24:12,4.5,Mitla Cafe,1258,2,Food & Beverage,601,27026.0,['Mexican restaurant'],San Bernardino,2019-11-07
