gmap_id1,gmap_id2,prob,rank
0x14e1a36751dfaab7:0xfc762877175f54b9,0x80c2b7040e5d3987:0xdcc0d65ef0279a39,0.9878042325840292,1
0x14e1a36751dfaab7:0xfc762877175f54b9,0x80c2b7291c491fb3:0x4342623703041986,0.9823285148504989,2
0x14e1a36751dfaab7:0xfc762877175f54b9,0x80c2b72718c66863:0x8a1cde0f1ee7b642,0.9799766941955917,3
0x14e1a36751dfaab7:0xfc762877175f54b9,0x80c2b725de7a856b:0xf544382f6421da7,0.9792347680377134,4
0x14e1a36751dfaab7:0xfc762877175f54b9,0x80c2c0fa55555555:0xc7b754ad1f64af24,0.9787799977753276,5
0x14e1a36751dfaab7:0xfc762877175f54b9,0x80c2b6d687c00829:0xf0f8faabb8106e8e,0.976560814879676,6
0x14e1a36751dfaab7:0xfc762877175f54b9,0x80c2b723fa91f82d:0x53519a7f79fab39a,0.9762932948131967,7
0x14e1a36751dfaab7:0xfc762877175f54b9,0x80c2b6d0ab867dfd:0x677d718bedcbed3f,0.9755767597325903,8
0x14e1a36751dfaab7:0xfc762877175f54b9,0x80c2b754b4646eb1:0x9903ae1f52e0e715,0.9752297000826604,9
0x14e1a36751dfaab7:0xfc762877175f54b9,0x80c2c7b3934657ef:0x6520d96640ff6a1d,0.9750831946732612,10
0x14e1a36751dfaab7:0xfc762877175f54b9,0x80c2b72718c66863:0xbf67eabfe437dcdd,0.973754284599503,11
0x14e1a36751dfaab7:0xfc762877175f54b9,0x80c2b6dba4ff0b8d:0xcba6948ea77183d4,0.9731504530906927,12
0x14e1a36751dfaab7:0xfc762877175f54b9,0x80dd4aa4e45b9231:0xe6bbb3af7a2987bb,0.9720520753803485,13
0x14e1a36751dfaab7:0xfc762877175f54b9,0x80c2b0ea342e5275:0xbe215acf191208c6,0.9714749730288179,14
0x14e1a36751dfaab7:0xfc762877175f54b9,0x80c2b6db75ecab4b:0x276d096ba88a170f,0.9710942707333077,15
0x14e1a36751dfaab7:0xfc762877175f54b9,0x80c2b6d64186aae7:0xdedd6e5a4e1e39fb,0.9709686364917728,16
0x14e1a36751dfaab7:0xfc762877175f54b9,0x80c2b557b7feb4bd:0xa844ddd2d4683885,0.9702397423747986,17
0x14e1a36751dfaab7:0xfc762877175f54b9,0x80c2b72e1209a111:0xc6108acb4fcd6dd6,0.9701004168378453,18
0x14e1a36751dfaab7:0xfc762877175f54b9,0x80c2c7cc7ddd1c53:0x6d18f7862900a793,0.9699338635937653,19
0x14e1a36751dfaab7:0xfc762877175f54b9,0x80c2b405bfe54fed:0xe0239edaa8302fc0,0.9698020363337065,20
0x54cd016961998e5f:0x350212d017513b7c,0x808586dfa1e88d3f:0xe5673764d3d015fa,0.8726473133711958,1
0x54cd016961998e5f:0x350212d017513b7c,0x809dbdf6ab7099ed:0x1f95a23ca153ed81,0.8673516811167151,2
0x54cd016961998e5f:0x350212d017513b7c,0x808de145db4dcb25:0x48028ef2b9b860bb,0.8658896960166054,3
0x54cd016961998e5f:0x350212d017513b7c,0x808580fcf0f3b41d:0x2f04a049a632686,0.8555718960575734,4
0x54cd016961998e5f:0x350212d017513b7c,0x809bd9ecf08f263d:0x30be88f09785170f,0.8537155925572582,5
0x54cd016961998e5f:0x350212d017513b7c,0x80832896419bdf4d:0x1b0c532219714aba,0.8439668467315065,6
0x54cd016961998e5f:0x350212d017513b7c,0x54d06636f5417fa5:0x36cf3266953b5f8e,0.8438377050599597,7
0x54cd016961998e5f:0x350212d017513b7c,0x80997b2b9a9659d1:0x3bae339c92f86a32,0.8392230773548477,8
0x54cd016961998e5f:0x350212d017513b7c,0x808580879c034b09:0x9426c73a3d692058,0.8376974940522259,9
0x54cd016961998e5f:0x350212d017513b7c,0x809d5607c14138bf:0x8f34d8a77a666742,0.8278647212943308,10
0x54cd016961998e5f:0x350212d017513b7c,0x8082f2230b4f789b:0x7d68253298b496d3,0.8202403299518202,11
0x54cd016961998e5f:0x350212d017513b7c,0x809b2225876d8c51:0x33d7af992feaef4e,0.8193865718680184,12
0x54cd016961998e5f:0x350212d017513b7c,0x808580fcc016db61:0x68c1c7392c8ac653,0.8137397486943865,13
0x54cd016961998e5f:0x350212d017513b7c,0x54d3ff8ec25a1417:0x41eca06f15dfe664,0.8136509578980657,14
0x54cd016961998e5f:0x350212d017513b7c,0x8084bfab194b7c49:0xbe2a98e7a4dbbaf0,0.8077485167183969,15
0x54cd016961998e5f:0x350212d017513b7c,0x54d2932d6cbb5139:0x121fb9a663532014,0.8073524054805662,16
0x54cd016961998e5f:0x350212d017513b7c,0x54d2e9876100ba11:0x83d84cd8874fe1be,0.805962197275433,17
0x54cd016961998e5f:0x350212d017513b7c,0x8091f1c6cc994511:0xe6a7829a8604dca8,0.8054095092956892,18
