gmap_id1,gmap_id2,cosine_top4,rank
0x14e1a36751dfaab7:0xfc762877175f54b9,0x80c2b6d687c00829:0xf0f8faabb8106e8e,0.970996680421385,1
0x14e1a36751dfaab7:0xfc762877175f54b9,0x80c2b6d64186aae7:0xdedd6e5a4e1e39fb,0.9690408211519472,2
0x14e1a36751dfaab7:0xfc762877175f54b9,0x80c2c0fa55555555:0xc7b754ad1f64af24,0.9687508528706897,3
0x14e1a36751dfaab7:0xfc762877175f54b9,0x80c2b6d6f3e4ea25:0x3f13fe017af0899a,0.964424571681834,4
0x14e1a36751dfaab7:0xfc762877175f54b9,0x80c2b72718c66863:0x8a1cde0f1ee7b642,0.9628258203813002,5
0x14e1a36751dfaab7:0xfc762877175f54b9,0x80c2b7291c491fb3:0x4342623703041986,0.9606598296581084,6
0x14e1a36751dfaab7:0xfc762877175f54b9,0x80c2b6db75ecab4b:0x276d096ba88a170f,0.9580670924835664,7
0x14e1a36751dfaab7:0xfc762877175f54b9,0x80c2b723fa91f82d:0x53519a7f79fab39a,0.9560888809893573,8
0x14e1a36751dfaab7:0xfc762877175f54b9,0x80c2b725de7a856b:0xf544382f6421da7,0.9542735172142026,9
0x14e1a36751dfaab7:0xfc762877175f54b9,0x80c2b72718c66863:0xbf67eabfe437dcdd,0.9536493186992893,10
0x14e1a36751dfaab7:0xfc762877175f54b9,0x808f782b5d839c71:0x90fa4ea377d36330,0.9526334688029915,11
0x14e1a36751dfaab7:0xfc762877175f54b9,0x808f79cac41b2ff5:0x39d444add93638fa,0.9513845821060588,12
0x14e1a36751dfaab7:0xfc762877175f54b9,0x80deab3fb1732857:0x904d55a404334f60,0.9504527785485921,13
0x14e1a36751dfaab7:0xfc762877175f54b9,0x808f77913ef28d33:0x4601d47a27706692,0.9426348202852443,14
0x14e1a36751dfaab7:0xfc762877175f54b9,0x808580873ead7ce1:0x321cfe10df42c7a1,0.9420477979596328,15
0x14e1a36751dfaab7:0xfc762877175f54b9,0x808f77824c7b2fff:0x6eb62ba372e07b2d,0.9395266420075634,16
0x14e1a36751dfaab7:0xfc762877175f54b9,0x808fcb9a6a46a61f:0x4a187c0c42ef8af2,0.9375011317411166,17
0x14e1a36751dfaab7:0xfc762877175f54b9,0x80c2c7c3b26dfa57:0x46a38600cbe6cb24,0.9368513443122337,18
0x14e1a36751dfaab7:0xfc762877175f54b9,0x8848caefca14ea8d:0x5bfeca54ba9dc7c8,0.936636886738575,19
0x14e1a36751dfaab7:0xfc762877175f54b9,0x80dbff93782ef5b9:0x7787d3c3e34f11f6,0.9317833101968264,20
0x54cd016961998e5f:0x350212d017513b7c,0x54d3aecfabab3847:0xbf1d6b55c513594,0.9715088013740756,1
0x54cd016961998e5f:0x350212d017513b7c,0x809c5c6208c3e323:0x395eb3f6c6bf9562,0.9672744074111665,2
0x54cd016961998e5f:0x350212d017513b7c,0x809a3b5b19ae3d7f:0x556fdce1f2fc604,0.9642050798346128,3
0x54cd016961998e5f:0x350212d017513b7c,0x54ce1423d0d23a83:0xe6caf922515b878f,0.9601015765576872,4
0x54cd016961998e5f:0x350212d017513b7c,0x8095000000000001:0x469ff9a86ed9181,0.9598571666053437,5
0x54cd016961998e5f:0x350212d017513b7c,0x8095ce27467ae327:0xd727209a76455d8f,0.9510605035879658,6
0x54cd016961998e5f:0x350212d017513b7c,0x80ec84fd38f0735f:0x445f88fa1ca91e6c,0.9474875487060059,7
0x54cd016961998e5f:0x350212d017513b7c,0x809736dfdb66cac9:0x85fa9ebeae067601,0.9379711741472911,8
0x54cd016961998e5f:0x350212d017513b7c,0x80869e7983e4c107:0xc24942d4ab683234,0.9330240091953056,9
0x54cd016961998e5f:0x350212d017513b7c,0x80dbec2a1af657a5:0x65f0819e736d55d8,0.932687951814068,10
0x54cd016961998e5f:0x350212d017513b7c,0x80c1ce24f92a5dbb:0x66173648fa8b7c22,0.9294624544064015,11
0x54cd016961998e5f:0x350212d017513b7c,0x80804d306a6b97eb:0x63db83955bca902a,0.9269984623955633,12
0x54cd016961998e5f:0x350212d017513b7c,0x80bf8d3676636c51:0x9b5c9e1cdfa75bee,0.9222287911809448,13
